state,FIPS,unemployment,incomeLevel,votes Dem percent, votes Rep percent
PA,42041,LOW,NORMAL,0.38483331595230647,0.5705235165293565
PA,42043,LOW,LOW,0.49390749846342963,0.4657344806392133
PA,42045,LOW,NORMAL,0.5939255420739242,0.37411175710594313
PA,42047,LOW,LOW,0.2625234589288292,0.7004475241807421
PA,42049,HIGH,LOW,0.46758785397475267,0.4876151484135107
PA,42051,HIGH,LOW,0.3336577696252761,0.6436566465765732
PA,42053,HIGH,LOW,0.2610508757297748,0.700583819849875
PA,42055,LOW,LOW,0.24979450573220852,0.7146009085009734
PA,42057,HIGH,LOW,0.13406495625092688,0.8417618270799347
PA,42059,HIGH,LOW,0.27796723503844867,0.6950183884988298
PA,42061,HIGH,LOW,0.23014977431267952,0.7370229790726303
PA,42063,HIGH,LOW,0.3039652247667515,0.6605173876166243
PA,42065,HIGH,LOW,0.18527303110344456,0.7834079025389467
PA,42067,LOW,LOW,0.1740049990386464,0.7915785425879639
PA,42069,LOW,LOW,0.5021705275452599,0.46819155148919606
PA,42071,LOW,NORMAL,0.3766072481402963,0.5734661364577192
PA,42073,HIGH,LOW,0.34355813093330045,0.6244112933053877
PA,42075,LOW,LOW,0.30319492072114895,0.6587444402947068
PA,42077,LOW,NORMAL,0.5037345374466611,0.4592860270141344
PA,42079,HIGH,LOW,0.3876562370508773,0.5839479850223385
PA,42081,HIGH,LOW,0.25700878832465107,0.7053525271404144
PA,42083,HIGH,LOW,0.24415617775494478,0.7166067300282558
PA,42085,HIGH,LOW,0.35550671452191795,0.6055974513045933
PA,42087,LOW,LOW,0.19535062229288885,0.770327320576786
PA,42089,HIGH,LOW,0.48419871406041487,0.4808018925148611
PA,42091,LOW,NORMAL,0.5872969830802663,0.3761570473158374
PA,42093,LOW,LOW,0.33403632103104863,0.6179261862917399
PA,42095,LOW,NORMAL,0.4618175450884258,0.499975485904395
PA,42097,HIGH,LOW,0.2626175974378771,0.6982356809928226
PA,42099,LOW,LOW,0.21888148253202855,0.7380986148536851
PA,42101,HIGH,LOW,0.8240513828471966,0.15497473637476902
PA,42103,HIGH,NORMAL,0.35475331849919434,0.6151691859126832
PA,42105,HIGH,LOW,0.16715957310016716,0.8032660408898032
PA,42107,HIGH,LOW,0.2665179282868526,0.700191235059761
PA,42109,LOW,LOW,0.244351925549501,0.7169534072123921
PA,42111,HIGH,LOW,0.20618527847746992,0.7653792331374195
PA,42113,HIGH,LOW,0.23863636363636365,0.7316919191919192
PA,42115,LOW,LOW,0.2638020833333333,0.6924479166666667
PA,42117,HIGH,LOW,0.21010730356524748,0.7458174685589016
PA,42119,LOW,LOW,0.3527586206896552,0.6094827586206897
PA,42121,HIGH,LOW,0.2665188269370022,0.6903511947863866
PA,42123,LOW,LOW,0.27394462097140265,0.6827054017249206
PA,42125,HIGH,LOW,0.35521171798442414,0.607983908401671
PA,42127,LOW,LOW,0.28607198748043816,0.6827185334227588
PA,42129,LOW,LOW,0.3274237922306592,0.6406239683063717
PA,42131,HIGH,LOW,0.28772749234981476,0.6744242229022387
PA,42133,LOW,NORMAL,0.331907478599873,0.6248147947605992
RI,44001,LOW,NORMAL,0.5885545340407435,0.36086023247337085
RI,44003,LOW,NORMAL,0.4715965416420926,0.4786111355109109
RI,44005,LOW,NORMAL,0.5704081889288499,0.37662533638489976
RI,44007,LOW,LOW,0.5855519440240181,0.37350817557005683
RI,44009,LOW,NORMAL,0.5223036159600998,0.4219763092269327
SC,45001,LOW,LOW,0.3461395001864976,0.6286833271167475
SC,45003,LOW,LOW,0.34004252872026,0.6149412220988859
SC,45005,HIGH,LOW,0.7607602012297373,0.22023476802683062
SC,45007,LOW,LOW,0.2620304871973697,0.6987770250074724
SC,45009,HIGH,LOW,0.6272800645682002,0.3546408393866021
SC,45011,HIGH,LOW,0.46365650385061713,0.5156662095157717
SC,45013,LOW,NORMAL,0.4064449635838945,0.5494846777518209
SC,45015,LOW,LOW,0.3863708359203741,0.5603593557951824
SC,45017,HIGH,LOW,0.4725274725274725,0.5011253806434529
SC,45019,LOW,LOW,0.5063861245379585,0.4278248507250498
SC,45021,LOW,LOW,0.2799025466580859,0.6971131745885815
SC,45023,HIGH,LOW,0.46345585128855094,0.5120405576679341
SC,45025,LOW,LOW,0.41598552078468004,0.55908453993461
SC,45027,HIGH,LOW,0.5037608867775138,0.4780944840327263
SC,45029,LOW,LOW,0.44199408043642274,0.5271313330625036
SC,45031,HIGH,LOW,0.46787690646511,0.5052301255230126
SC,45033,HIGH,LOW,0.49863201094391246,0.48195964432284544
SC,45035,LOW,LOW,0.38438755743400094,0.5592430718985639
SC,45037,LOW,LOW,0.3856922019924425,0.5875987633115768
SC,45039,HIGH,LOW,0.6164237468894419,0.3576253110558123
SC,45041,LOW,LOW,0.46096589925566905,0.510611043794357
SC,45043,HIGH,LOW,0.4198737269583426,0.5499539960024112
SC,45045,LOW,LOW,0.3466337700640917,0.5936277012080994
SC,45047,LOW,LOW,0.3717832167832168,0.5902447552447553
SC,45049,LOW,LOW,0.5871048442119627,0.39606549920400275
SC,45051,LOW,LOW,0.2950210035099556,0.6732287575399789
SC,45053,LOW,LOW,0.5479037703995498,0.42909397861564436
SC,45055,LOW,LOW,0.3564675324675325,0.6048138528138528
SC,45057,LOW,LOW,0.35431464214686054,0.6094997029728543
SC,45059,LOW,LOW,0.33410138248847926,0.6334516884490443
SC,45061,HIGH,LOW,0.6374845869297164,0.3438964241676942
SC,45063,LOW,LOW,0.28846169631204394,0.6555582004284695
SC,45067,HIGH,LOW,0.5994232257156925,0.3822184708447633
SC,45069,HIGH,LOW,0.5725876557519559,0.41118516372066066
SC,45065,LOW,LOW,0.47535953978907,0.5083413231064238
SC,45071,LOW,LOW,0.36987198571003277,0.5960702590056565
SC,45073,LOW,LOW,0.23796600059648076,0.7186400238592305
SC,45075,HIGH,LOW,0.6763342262518031,0.3067432515969503
SC,45077,LOW,LOW,0.21131141167563586,0.7385975322788566
SC,45079,LOW,LOW,0.6399114521841794,0.31141086186540734
SC,45081,LOW,LOW,0.328192545858161,0.6455193363710714
SC,45083,LOW,LOW,0.3302178106347222,0.630011672861838
SC,45085,LOW,LOW,0.5454050127134036,0.4252860515800944
SC,45087,HIGH,LOW,0.3910813270455862,0.5839331513195996
SC,45089,HIGH,LOW,0.6611070503023456,0.3231443949764104
SC,45091,LOW,NORMAL,0.36350011020498124,0.5840423187128058
SD,46003,LOW,LOW,0.24164889836531628,0.6922530206112296
SD,46005,LOW,LOW,0.28233904311872415,0.6578558771411696
SD,46007,LOW,LOW,0.35857267188859876,0.5796344647519582
SD,46009,LOW,LOW,0.2367182246133154,0.7078009414929388
SD,46011,LOW,LOW,0.38477917981072557,0.5321766561514195
SD,46013,LOW,LOW,0.3383603301681872,0.5965990194253088
SD,46015,LOW,LOW,0.24956293706293706,0.6840034965034965
SD,46017,HIGH,LOW,0.6040816326530613,0.3489795918367347
SD,46019,LOW,LOW,0.15945697192820985,0.771974229176254
SD,46021,LOW,LOW,0.1263537906137184,0.8471720818291215
SD,46023,LOW,LOW,0.27235653946985144,0.6938537722108943
SD,46025,LOW,LOW,0.24019312009656005,0.6873868436934218
SD,46027,LOW,LOW,0.5144999013612153,0.41605839416058393
SD,46029,LOW,LOW,0.2720027423086811,0.6653526437569629
SD,46031,LOW,LOW,0.4553191489361702,0.5004255319148936
SD,46033,LOW,LOW,0.23748939779474132,0.6976251060220526
SD,46035,LOW,LOW,0.29615191146881287,0.6485160965794768
SD,46037,LOW,LOW,0.3545686203130688,0.592282489989079
SD,46039,LOW,LOW,0.27403846153846156,0.6567307692307692
SD,46041,HIGH,LOW,0.5196250732278852,0.4235500878734622
SD,46043,LOW,LOW,0.13333333333333333,0.8336448598130841
SD,46045,LOW,LOW,0.1981230448383733,0.7471324296141815
SD,46047,LOW,LOW,0.23042380016839742,0.7047431939376929
SD,46049,LOW,LOW,0.18246869409660108,0.7674418604651163
SD,46051,LOW,LOW,0.27231892195395846,0.6684446939921392
SD,46053,LOW,LOW,0.18699186991869918,0.7651841224294595
SD,46055,LOW,LOW,0.07375478927203065,0.896551724137931
SD,46057,LOW,LOW,0.20094134685010862,0.7425778421433744
SD,46059,LOW,LOW,0.18371837183718373,0.7651265126512651
SD,46061,LOW,NORMAL,0.21136590229312063,0.7462612163509471
SD,46063,LOW,LOW,0.0494148244473342,0.9024707412223667
SD,46065,LOW,NORMAL,0.2996451731310412,0.6330600758595375
SD,46067,LOW,LOW,0.20564635958395244,0.7479940564635958
SD,46069,LOW,LOW,0.18115942028985507,0.7869565217391304
SD,46071,LOW,LOW,0.29497716894977166,0.6593607305936073
SD,46073,LOW,LOW,0.2730093071354705,0.6701137538779731
SD,46075,LOW,LOW,0.12365591397849462,0.8064516129032258
SD,46077,LOW,LOW,0.275578204625637,0.6585652685221481
SD,46079,LOW,LOW,0.34099616858237547,0.5950486295313882
SD,46081,LOW,LOW,0.28339807464955247,0.6258233406519169
SD,46083,LOW,NORMAL,0.3200824382703817,0.6142840156949784
SD,46085,LOW,LOW,0.25967628430682616,0.6875439831104856
SD,46091,LOW,LOW,0.3872624550590652,0.5423728813559322
SD,46087,LOW,LOW,0.24081948202551218,0.6934673366834171
SD,46089,LOW,LOW,0.16886543535620052,0.7845206684256816
SD,46093,LOW,LOW,0.19129162722657259,0.7263574563290595
SD,46095,LOW,LOW,0.3484626647144949,0.5885797950219619
SD,46097,LOW,LOW,0.2640977443609023,0.6635338345864662
SD,46099,LOW,NORMAL,0.39111713070033094,0.5372014872928459
SD,46101,LOW,LOW,0.3556313993174061,0.5901023890784983
SD,46103,LOW,LOW,0.29479901971052136,0.6242852055884879
SD,46105,LOW,LOW,0.11706102117061021,0.8300124533001245
SD,46107,LOW,LOW,0.16104868913857678,0.800749063670412
SD,46109,LOW,LOW,0.3960370560988163,0.5512094698919197
SD,46111,LOW,LOW,0.21460373998219057,0.7292965271593945
SD,46115,LOW,LOW,0.3114198576753643,0.6282616062351745
SD,46117,LOW,NORMAL,0.209955328653478,0.7326100829610721
SD,46119,LOW,LOW,0.15911730545876887,0.7886178861788617
SD,46121,HIGH,LOW,0.7082352941176471,0.2291764705882353
SD,46123,LOW,LOW,0.17566539923954372,0.7866920152091255
